step: 20, lr: 0.000998, cost: 1.3620, recon: 1.3620, train_time_taken: 61.7689
step: 40, lr: 0.000996, cost: 1.1133, recon: 1.1133, train_time_taken: 57.2169
step: 60, lr: 0.000994, cost: 1.0378, recon: 1.0378, train_time_taken: 55.2258
step: 80, lr: 0.000992, cost: 0.9460, recon: 0.9460, train_time_taken: 58.5403
step: 100, lr: 0.000990, cost: 0.9901, recon: 0.9901, train_time_taken: 56.8835
step: 120, lr: 0.000988, cost: 0.9503, recon: 0.9503, train_time_taken: 53.6638
step: 140, lr: 0.000986, cost: 1.0190, recon: 1.0190, train_time_taken: 56.9224
step: 160, lr: 0.000984, cost: 0.8758, recon: 0.8758, train_time_taken: 64.0082
step: 180, lr: 0.000982, cost: 0.8942, recon: 0.8942, train_time_taken: 60.2885
step: 200, lr: 0.000980, cost: 0.8150, recon: 0.8150, train_time_taken: 58.1414
step: 220, lr: 0.000978, cost: 0.8377, recon: 0.8377, train_time_taken: 57.7029
step: 240, lr: 0.000977, cost: 0.7998, recon: 0.7998, train_time_taken: 61.4168
step: 260, lr: 0.000975, cost: 0.8125, recon: 0.8125, train_time_taken: 66.3085
step: 280, lr: 0.000973, cost: 0.8150, recon: 0.8150, train_time_taken: 58.3951
step: 300, lr: 0.000971, cost: 0.6851, recon: 0.6851, train_time_taken: 58.4476
step: 320, lr: 0.000969, cost: 0.7954, recon: 0.7954, train_time_taken: 60.3563
step: 340, lr: 0.000967, cost: 0.7293, recon: 0.7293, train_time_taken: 63.2870
step: 360, lr: 0.000965, cost: 0.7085, recon: 0.7085, train_time_taken: 59.8157
step: 380, lr: 0.000963, cost: 0.6441, recon: 0.6441, train_time_taken: 60.2976
step: 400, lr: 0.000961, cost: 0.6801, recon: 0.6801, train_time_taken: 57.8197
step: 420, lr: 0.000959, cost: 0.5903, recon: 0.5903, train_time_taken: 56.9809
step: 440, lr: 0.000957, cost: 0.6463, recon: 0.6463, train_time_taken: 59.3528
step: 460, lr: 0.000955, cost: 0.5419, recon: 0.5419, train_time_taken: 58.3298
step: 480, lr: 0.000954, cost: 0.4962, recon: 0.4962, train_time_taken: 57.7398
step: 500, lr: 0.000952, cost: 0.6083, recon: 0.6083, train_time_taken: 54.1847
step: 520, lr: 0.000950, cost: 0.5013, recon: 0.5013, train_time_taken: 54.4809
step: 540, lr: 0.000948, cost: 0.5135, recon: 0.5135, train_time_taken: 54.8339
step: 560, lr: 0.000946, cost: 0.4517, recon: 0.4517, train_time_taken: 57.4233
step: 580, lr: 0.000944, cost: 0.4651, recon: 0.4651, train_time_taken: 58.2011
step: 600, lr: 0.000942, cost: 0.4036, recon: 0.4036, train_time_taken: 55.5689
step: 620, lr: 0.000940, cost: 0.4478, recon: 0.4478, train_time_taken: 55.2810
step: 640, lr: 0.000939, cost: 0.4501, recon: 0.4501, train_time_taken: 56.1918
step: 660, lr: 0.000937, cost: 0.3864, recon: 0.3864, train_time_taken: 55.9658
step: 680, lr: 0.000935, cost: 0.4934, recon: 0.4934, train_time_taken: 55.4894
